Year,Disaster_Type,Total_Economic_Damage_Share_GDP,Countries_With_Data,Total_Countries_In_Year
1960,Drought,0.0,3,18
1960,Flood,0.0,8,18
1960,Earthquake,20.535453847000003,11,18
1960,Extreme weather,0.602407313,10,18
1960,Extreme temperature,0.0,0,18
1960,Volcanic activity,0.0,3,18
1960,Wildfire,0.0,0,18
1960,Glacial lake outburst flood,0.0,0,18
1960,Dry mass movement,0.0,0,18
1960,Wet mass movement,0.0,5,18
1961,Drought,0.0,3,19
1961,Flood,0.0,10,19
1961,Earthquake,0.0,5,19
1961,Extreme weather,200.6625097155,12,19
1961,Extreme temperature,0.0,3,19
1961,Volcanic activity,0.0,0,19
1961,Wildfire,0.0,0,19
1961,Glacial lake outburst flood,0.0,0,19
1961,Dry mass movement,0.0,0,19
1961,Wet mass movement,0.0,4,19
1962,Drought,0.0,0,19
1962,Flood,0.5074271894,10,19
1962,Earthquake,0.6546248973,6,19
1962,Extreme weather,0.768531971,10,19
1962,Extreme temperature,0.0,3,19
1962,Volcanic activity,0.0,0,19
1962,Wildfire,0.0,0,19
1962,Glacial lake outburst flood,0.0,0,19
1962,Dry mass movement,0.103013982,2,19
1962,Wet mass movement,0.0,3,19
1963,Drought,0.0,2,23
1963,Flood,0.0,9,23
1963,Earthquake,0.47498502,3,23
1963,Extreme weather,75.3187990972,15,23
1963,Extreme temperature,0.0,4,23
1963,Volcanic activity,0.0,4,23
1963,Wildfire,0.0,0,23
1963,Glacial lake outburst flood,0.0,0,23
1963,Dry mass movement,0.0,3,23
1963,Wet mass movement,0.0,4,23
1964,Drought,0.0,9,29
1964,Flood,1.1447806481000002,13,29
1964,Earthquake,1.2248802755000001,9,29
1964,Extreme weather,7.1117854838,18,29
1964,Extreme temperature,0.0,0,29
1964,Volcanic activity,0.0,3,29
1964,Wildfire,0.0,0,29
1964,Glacial lake outburst flood,0.0,0,29
1964,Dry mass movement,0.0,0,29
1964,Wet mass movement,0.0,3,29
1965,Drought,0.13226762139999998,9,37
1965,Flood,2.7328627979999998,17,37
1965,Earthquake,6.2374436585,9,37
1965,Extreme weather,1.93182161,15,37
1965,Extreme temperature,0.0,3,37
1965,Volcanic activity,0.16178491796,3,37
