SID,NUMBER,ISO_TIME,NATURE,LAT,LON,YEAR
2005003S09177,1,1/10/2005 0:00,Tropical,-18.3,159,2005
2005006S09099,2,1/10/2005 0:00,Tropical,-16.2,98.4,2005
2005007N04085,3,1/10/2005 0:00,Tropical,6.4,83.2,2005
2005012N04090,4,1/11/2005 18:00,Disturbance,4,89.8,2005
2005013N05153,5,1/13/2005 0:00,Disturbance,5.2,153.1,2005
2005013S14124,6,1/13/2005 12:00,Mixture(contradicting report from different agencies),-13.9,123.4,2005
2005015S06089,7,1/15/2005 12:00,Mixture(contradicting report from different agencies),-6.6,88.3,2005
2005017S09061,8,1/16/2005 12:00,Tropical,-8.7,60.8,2005
2005022S14112,9,1/22/2005 0:00,Tropical,-13.5,112.4,2005
2005026S20040,10,1/26/2005 12:00,Tropical,-21.1,40.9,2005
2005027S18168,11,1/27/2005 0:00,Not reported,-18,168.4,2005
2005029S11072,12,1/29/2005 12:00,Tropical,-11.2,71.8,2005
2005032S14195,13,2/1/2005 0:00,Not reported,-14,-165,2005
2005035S14136,14,2/3/2005 12:00,Tropical,-14,135.8,2005
2005035S15118,15,2/4/2005 0:00,Mixture(contradicting report from different agencies),-14.6,117.7,2005
2005041S13181,16,2/10/2005 0:00,Not reported,-13,-179,2005
2005042S12190,17,2/10/2005 18:00,Not reported,-11.7,-169.6,2005
2005054S09173,18,2/23/2005 0:00,Not reported,-8.5,172.8,2005
2005060S12179,19,2/28/2005 18:00,Not reported,-11.8,179,2005
2005063S12141,20,3/10/2005 0:00,Tropical,-13.2,142.8,2005
2005067S12120,21,3/10/2005 0:00,Tropical,-14.2,116.5,2005
2005071N06152,22,3/12/2005 0:00,Mixture(contradicting report from different agencies),6.1,151.9,2005
2005079S10067,23,3/19/2005 12:00,Disturbance,-9.5,67.1,2005
2005089S10085,24,3/29/2005 12:00,Mixture(contradicting report from different agencies),-10,84.9,2005
2005092S11102,25,4/1/2005 12:00,Mixture(contradicting report from different agencies),-10.9,102.4,2005
2005103S08138,26,4/13/2005 0:00,Tropical,-8,138,2005
2005107N07151,27,4/16/2005 18:00,Disturbance,6.9,150.8,2005
2005110S17180,28,4/20/2005 12:00,Not reported,-15.9,180.1,2005
2005138N10265,29,5/17/2005 18:00,Tropical,9.8,-95.2,2005
2005148N06156,30,5/27/2005 12:00,Disturbance,5.7,156.3,2005
2005160N17276,31,6/10/2005 0:00,Tropical,20.4,-84.2,2005
2005172N22069,32,6/21/2005 12:00,Tropical,22,68,2005
2005173N14258,33,6/21/2005 18:00,Tropical,13.6,-101.7,2005
2005177N13263,34,6/26/2005 12:00,Tropical,13,-97.7,2005
2005179N22088,35,6/27/2005 12:00,Tropical,21.5,88,2005
2005180N20265,36,6/28/2005 18:00,Tropical,19.7,-95.4,2005
2005185N15261,37,7/4/2005 0:00,Tropical,14.9,-99.2,2005
2005185N18273,38,7/10/2005 0:00,Extratropical,44.9,-69.8,2005
2005186N12299,39,7/10/2005 0:00,Tropical,26.1,-85,2005
2005192N11318,40,7/11/2005 0:00,Tropical,10.7,-42.4,2005
2005192N22155,41,7/10/2005 12:00,Disturbance,21.9,154.9,2005
2005199N15256,42,7/18/2005 12:00,Tropical,15.2,-104.3,2005
2005199N21168,43,7/18/2005 0:00,Mixture(contradicting report from different agencies),21.3,167.9,2005
2005202N13138,44,7/20/2005 12:00,Tropical,13.2,138,2005
2005203N25285,45,7/21/2005 18:00,Tropical,25,-75,2005
2005205N19267,46,7/23/2005 18:00,Tropical,19.3,-92.9,2005
2005210N19115,47,7/28/2005 12:00,Tropical,18.5,114.6,2005
2005210N21088,48,7/29/2005 12:00,Tropical,21.5,87.5,2005
2005211N09141,49,7/29/2005 18:00,Disturbance,9.1,140.8,2005
2005215N14224,50,8/2/2005 18:00,Disturbance,14.3,-135.9,2005
2005215N28291,51,8/10/2005 0:00,Extratropical,44,-37.1,2005
2005217N13327,52,8/10/2005 0:00,Tropical,22.4,-55.7,2005
2005222N14131,53,8/10/2005 0:00,Mixture(contradicting report from different agencies),14.2,130.3,2005
2005222N14246,54,8/10/2005 0:00,Tropical,14.8,-115.8,2005
2005223N13251,55,8/11/2005 12:00,Tropical,13.3,-109.9,2005
2005226N13316,56,8/13/2005 12:00,Tropical,13.3,-43.6,2005
2005229N21156,57,8/17/2005 12:00,Disturbance,21.5,155.7,2005
2005230N20144,58,8/18/2005 0:00,Disturbance,20.4,143.9,2005
2005232N13263,59,8/19/2005 18:00,Tropical,13.3,-96.6,2005
2005235N19266,60,8/22/2005 12:00,Tropical,19.4,-94.5,2005
2005236N23285,61,8/23/2005 18:00,Tropical,23.1,-75.1,2005
2005237N14148,62,8/24/2005 18:00,Disturbance,14.2,147.7,2005
2005238N17255,63,8/25/2005 12:00,Tropical,16.9,-104.7,2005
2005241N14315,64,8/28/2005 12:00,Tropical,14,-45.1,2005
2005241N15155,65,8/28/2005 18:00,Disturbance,15.1,154.8,2005
2005245N19315,66,9/1/2005 12:00,Tropical,18.8,-45.5,2005
2005248N08142,67,9/10/2005 0:00,Tropical,23.2,126.3,2005
2005249N26281,68,9/10/2005 0:00,Tropical,30.2,-77.5,2005
2005249N28293,69,9/10/2005 0:00,Tropical,34.7,-50.8,2005
2005255N14113,70,9/12/2005 12:00,Tropical,13.1,111.7,2005
2005255N15246,71,9/12/2005 0:00,Tropical,14.8,-114.5,2005
2005255N20088,72,9/12/2005 12:00,Tropical,21,85,2005
2005257N15120,73,9/14/2005 12:00,Disturbance,15,118.5,2005
2005257N20069,74,9/14/2005 12:00,Tropical,20.5,68,2005
2005258N12242,75,9/14/2005 18:00,Tropical,12.3,-118,2005
2005260N20091,76,9/17/2005 12:00,Tropical,20.5,90,2005
2005261N13245,77,9/17/2005 12:00,Tropical,12.5,-114.9,2005
2005261N13306,78,9/17/2005 12:00,Tropical,13.3,-54.5,2005
2005261N14252,79,9/17/2005 12:00,Disturbance,13.5,-107.7,2005
2005261N21290,80,9/18/2005 0:00,Tropical,21.3,-69.9,2005
2005262N13127,81,9/19/2005 12:00,Tropical,13.8,126.1,2005
2005262N20155,82,9/19/2005 0:00,Mixture(contradicting report from different agencies),19.9,155.4,2005
2005266N15252,83,10/1/2005 0:00,Disturbance,18.6,-119.5,2005
2005268N19146,84,10/1/2005 0:00,Tropical,22.5,127,2005
2005271N17255,85,10/1/2005 0:00,Tropical,21.4,-111.2,2005
2005274N12327,86,10/1/2005 0:00,Tropical,12.7,-33.3,2005
2005274N17086,87,10/1/2005 12:00,Disturbance,17.9,85.8,2005
2005275N19274,88,10/1/2005 12:00,Tropical,18.9,-85.6,2005
2005277N34328,89,10/4/2005 0:00,Disturbance,33.8,-31.8,2005
2005278N27280,90,10/5/2005 12:00,Tropical,28.3,-80.2,2005
